# Timestep Ixx Iyy Izz Ixy Ixz Iyz Wall Velocity
00004400  0.146932E-13  0.121622E-13  0.121588E-13 -0.120954E-22 -0.134240E-21 -0.500011E-21  0.500000E+01
00004500  0.147458E-13  0.121539E-13  0.121506E-13 -0.207390E-22 -0.160724E-21 -0.470592E-21  0.500000E+01
00004600  0.147970E-13  0.121462E-13  0.121430E-13 -0.398720E-22 -0.187202E-21 -0.439698E-21  0.500000E+01
00004700  0.148466E-13  0.121400E-13  0.121370E-13 -0.585255E-22 -0.215642E-21 -0.410292E-21  0.500000E+01
00004800  0.148941E-13  0.121343E-13  0.121315E-13 -0.975098E-22 -0.236944E-21 -0.368162E-21  0.500000E+01
00004900  0.149395E-13  0.121287E-13  0.121260E-13 -0.822975E-22 -0.306668E-21 -0.383394E-21  0.500000E+01
00005000  0.149829E-13  0.121232E-13  0.121206E-13  0.126729E-21 -0.555687E-21 -0.631902E-21  0.500000E+01
00005100  0.150242E-13  0.121180E-13  0.121157E-13  0.578673E-21 -0.119351E-20 -0.124987E-20  0.500000E+01
00005200  0.150633E-13  0.121134E-13  0.121111E-13  0.115814E-20 -0.190624E-20 -0.190686E-20  0.500000E+01
00005300  0.151002E-13  0.121090E-13  0.121068E-13  0.159934E-20 -0.248143E-20 -0.243249E-20  0.500000E+01
00005400  0.151349E-13  0.121050E-13  0.121030E-13  0.198046E-20 -0.295214E-20 -0.281624E-20  0.500000E+01
00005500  0.151672E-13  0.121013E-13  0.120995E-13  0.257960E-20 -0.338055E-20 -0.319249E-20  0.500000E+01
00005600  0.151969E-13  0.120979E-13  0.120963E-13  0.323300E-20 -0.389904E-20 -0.365684E-20  0.500000E+01
00005700  0.152237E-13  0.120954E-13  0.120940E-13  0.378408E-20 -0.439102E-20 -0.416696E-20  0.500000E+01
00005800  0.152475E-13  0.120932E-13  0.120919E-13  0.443537E-20 -0.487945E-20 -0.458978E-20  0.500000E+01
00005900  0.152682E-13  0.120911E-13  0.120899E-13  0.535263E-20 -0.549051E-20 -0.518061E-20  0.500000E+01
00006000  0.152856E-13  0.120891E-13  0.120881E-13  0.637833E-20 -0.612111E-20 -0.588751E-20  0.500000E+01
00006100  0.152997E-13  0.120874E-13  0.120865E-13  0.764084E-20 -0.687063E-20 -0.659641E-20  0.500000E+01
00006200  0.153103E-13  0.120860E-13  0.120852E-13  0.855945E-20 -0.707578E-20 -0.695497E-20  0.500000E+01
00006300  0.153177E-13  0.120849E-13  0.120842E-13  0.946371E-20 -0.695429E-20 -0.725245E-20  0.500000E+01
00006400  0.153217E-13  0.120839E-13  0.120833E-13  0.102035E-19 -0.722792E-20 -0.759396E-20  0.500000E+01
00006500  0.153225E-13  0.120831E-13  0.120826E-13  0.111252E-19 -0.773021E-20 -0.822764E-20  0.500000E+01
00006600  0.153204E-13  0.120826E-13  0.120821E-13  0.123247E-19 -0.920037E-20 -0.895140E-20  0.500000E+01
00006700  0.153155E-13  0.120823E-13  0.120819E-13  0.148643E-19 -0.119473E-19 -0.102289E-19  0.500000E+01
00006800  0.153079E-13  0.120824E-13  0.120820E-13  0.181277E-19 -0.157849E-19 -0.124326E-19  0.500000E+01
00006900  0.152975E-13  0.120827E-13  0.120822E-13  0.216333E-19 -0.201784E-19 -0.153457E-19  0.500000E+01
00007000  0.152844E-13  0.120833E-13  0.120827E-13  0.259276E-19 -0.256210E-19 -0.191477E-19  0.500000E+01
